0,1,2,3,4,5,6,7,8,9,10,11,12
3,NOUN,,,,,NOUN,,,,,1,0
3,NOUN,,,,,NOUN,,,,,1,0
30,INFN,NOUN,INFN,INFN,NPRO,CONJ,ADJF,NOUN,,,1,0
5,ADJF,CONJ,ADVB,CONJ,,,,,,,1,0
6,ADJF,,,,,,NOUN,,,,1,0
4,,,,,,NOUN,ADJF,ADJF,,,1,0
3,NOUN,PREP,,,,,,,,,1,0
3,PREP,CONJ,,,,,,,,,1,0
15,PREP,CONJ,,,,NOUN,CONJ,NOUN,ADJF,NOUN,1,0
14,NOUN,NOUN,ADJF,INFN,NOUN,NOUN,CONJ,NOUN,,,1,0
29,ADJF,PREP,INFN,INFN,NOUN,NOUN,NOUN,ADVB,NPRO,NOUN,1,0
16,ADJF,NOUN,PREP,NOUN,ADJF,,,,,,1,0
3,ADJF,,,,,CONJ,,,,,1,0
11,ADJF,ADJF,NOUN,ADJF,CONJ,PREP,ADJF,NOUN,NOUN,,1,0
16,NOUN,,NOUN,NOUN,PREP,NOUN,ADJF,,NOUN,PREP,1,0
3,ADJF,CONJ,,,,,,,,,2,0
57,ADJF,NOUN,NOUN,NOUN,NOUN,CONJ,NOUN,NOUN,PREP,ADJF,10,0
3,ADJF,,,,,INFN,,,,,2,0
3,,,,,,NOUN,NOUN,,,,1,0
4,,,,,,PREP,ADJF,NOUN,,,2,0
27,ADJF,ADJF,PREP,INFN,,NOUN,CONJ,NPRO,NOUN,NOUN,1,0
31,NOUN,PREP,NOUN,INFN,ADJF,NOUN,NOUN,NUMR,INFN,NOUN,1,0
4,,,,,,NOUN,,NOUN,,,7,0
35,NOUN,ADJF,PREP,NOUN,ADJF,CONJ,ADJF,ADJF,NOUN,,3,0
4,PREP,,,,,PREP,NOUN,,,,1,0
3,,,,,,NOUN,NOUN,,,,22,0
4,,,,,,ADJF,ADJF,PREP,,,3,1
60,,ADJF,INFN,CONJ,NOUN,ADJF,INFN,ADJF,,,1,0
6,,,,,,ADJF,ADJF,NOUN,CONJ,ADJF,6,0
7,,,,,,ADJF,NOUN,PREP,NOUN,CONJ,3,0
17,NOUN,CONJ,NOUN,,,NOUN,NOUN,NOUN,PREP,ADJF,3,0
