0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
98.0,49.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,8.0,3.0,0.0,6.0,0.0
11.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
43.0,15.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0
36.0,16.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
10.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0
24.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0
19.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
37.0,13.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0
41.0,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0
38.0,13.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,4.0,1.0,0.0,1.0,0.0
29.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0
58.0,17.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,3.0,0.0,0.0,6.0,0.0
29.0,14.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
23.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
